name,file type 1,file type 2,polyglot type,VirusTotal,Hybrid Analysis,MetaDefender Cloud,Jotti’s Malware Scan
,,,,,,,
,,,,,,,
Virus_ruby.rb,RB,,clear,41/61,16/24,10/22,12/13
Virus_ruby_start.pdf,RB,PDF,start,23/64,7/26,5/20,6/13
Virus_ruby_middle.pdf,RB,PDF,middle,20/63,6/26,5/20,6/13
Virus_ruby_end.pdf,BR,PDF,end,21/64,6/26,5/20,7/13
,,,,,,,
Trojan_ruby.rb,RB,,clear,26/61,6/26,5/33,8/13
Trojan_ruby_start.pdf,RB,PDF,start,14/62,3/27,2/21,4/13
Trojan_ruby_middle.pdf,RB,PDF,middle,3/64,1/26,1/21,0/13
Trojan_ruby_end.pdf,RB,PDF,end,2/64,clean,0/21,0/13
,,,,,,,
Kakkeys_ruby.rb,RB,,clear,1/38,1/26,1/20,1/13
Kakkeys_ruby_start.pdf,RB,PDF,start,0/60,clean,0/20,0/13
Kakkeys_ruby_middle.pdf,RB,PDF,middle,1/64,1/26,1/20,0/13
Kakkeys_ruby_end.pdf,RB,PDF,end,1/64,1/27,1/20,1/13
,,,,,,,
,,,,,,,
,,,,,,,
ReverseShell_python.py,SH,,clear,20/63,7/26,1/11,5/13
ReverseShell_python_start.pdf,SH,PDF,start,13/64,4/27,3/21,4/13
ReverseShell_python_middle.pdf,SH,PDF,middle,13/64,4/27,2/21,4/12
ReverseShell_python_end.pdf,SH,PDF,end,13/64,5/26,3/21,4/13
,,,,,,,
RealstStealer_python.py,PY,,clear,23/63,4/26,2/30,7/13
RealstStealer_python_start.pdf,PY,PDF,start,17/63,5/27,5/20,6/13
RealstStealer_python_middle.pdf,PY,PDF,middle,10/64,3/26,2/20,4/13
RealstStealer_python_end.pdf,PY,PDF,end,12/64,3/26,3/20,5/13
,,,,,,,
Mirai_python.py,PY,,clear,31/62,8/26,0/22,8/13
Mirai_python_start.pdf,PY,PDF,start,17/62,5/26,5/20,5/13
Mirai_python_middle.py,PY,PDF,middle,10/64,3/26,3/20,3/13
Mirai_python_end.pdf,PY,PDF,end,13/64,4/26,5/20,4/13
,,,,,,,
,,,,,,,
,,,,,,,
BeaverTail_bash.sh,SH,,clear,29/62,9/26,9/22,9/13
BeaverTail_bash_start.pdf,SH,PDF,start,13/63,4/26,3/21,5/13
BeaverTail_bash_middle.pdf,SH,PDF,middle,11/64,3/26,2/21,4/13
BeaverTail_bash_end.pdf,SH,PDF,end,11/64,3/27,2/21,4/13
,,,,,,,
Mirai_bash.sh,SH,,clear,35/62,11/26,11/31,8/13
Mirai_bash_start.pdf,SH,PDF,start,33/61,10/26,9/20,9/13
Mirai_bash_middle.pdf,SH,PDF,middle,23/64,8/27,6/22,6/13
Mirai_bash_end.pdf,SH,PDF,end,23/64,8/26,6/22,6/13
,,,,,,,
CoinMinner_bash.sh,SH,,clear,23/62,7/26,3/33,7/13
CoinMinner_bash_start.pdf,SH,PDF,start,16/62,6/26,2/20,5/13
CoinMinner_bash_middle.pdf,SH,PDF,middle,0/64,clean,0/20,0/13
CoinMinner_bash_end.pdf,SH,PDF,end,0/63,2/26,1/20,0/13
