Filename,Polyglot_Type,Triage_Sample_ID,Analysis_Status,Triage_Score
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b_cavity.sh,cavity,260523-wdtnzsfw7j,reported,0
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2_cavity.sh,cavity,260523-wdwhksaw6v,reported,0
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7_cavity.sh,cavity,260523-wdyb6saw6x,reported,0
4dc4f0f7d86ce580ec9d5afe792681d8c4ce473e96f21cfaa11cec93b1cf2ae6_cavity.sh,cavity,260523-wdzj8saw6z,reported,0
e0d7c7df9562bef40c41835803a4af04a04f4f48f201e56c6f60dc58ae8c65e4_cavity.sh,cavity,260523-wd2dtsaw61,reported,0
2da6979700ca47740c94446df38096017166eecb4206af33aa1d55c9346593ea_cavity.sh,cavity,260523-wd38esfw7q,reported,0
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_cavity.sh,cavity,260523-wd5q9afw8j,reported,0
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8_cavity.sh,cavity,260523-wd7wlsfw8m,reported,0
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40_cavity.sh,cavity,260523-wd9p7saw7t,reported,0
80729e37f797da2b5a177867306318626e52b675f44fa441c256d139e88f69df_cavity.sh,cavity,260523-wea82afw8p,reported,0
83b524467cb1eb5c4807b0f4cec93c5efe6f3b1bbd15f711f4462b15706b863b_cavity.sh,cavity,260523-wec3mafw8r,reported,0
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33_cavity.sh,cavity,260523-wejkeafw9q,reported,0
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453_cavity.sh,cavity,260523-welprsfx2j,reported,0
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e_cavity.sh,cavity,260523-weypbsaw71,reported,0
60f401afeb6054e531916adb8118df45fcd7d4c1d166ac28197c67ecba2ba60c_cavity.sh,cavity,260523-we1hxsaw8t,reported,0
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0_cavity.sh,cavity,260523-we22raaw8z,reported,0
9c15f56d1167f8e3cad9bcb719ed6e304e1eb00c84e669325f825f629bc0610d_cavity.sh,cavity,260523-we4wcaaw9v,reported,0
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd_cavity.sh,cavity,260523-we6pyaaw9z,reported,0
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535_cavity.sh,cavity,260523-we8jjaax2t,reported,0
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e_cavity.sh,cavity,260523-we93csax2y,reported,0
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4_cavity.sh,cavity,260523-wfbwysax21,reported,0
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708_cavity.sh,cavity,260523-wfd2bafx3q,reported,0
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd_cavity.sh,cavity,260523-wffj5sfx4k,reported,0
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_cavity.sh,cavity,260523-wfhdqsax3x,reported,0
1c8ccda72671132190340a819e4689f94fbc317970d1da3dc44fafa8fb9d1456_cavity.sh,cavity,260523-wfjxkaax3y,reported,0
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_cavity.sh,cavity,260523-wfl2xsax4t,reported,0
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_cavity.sh,cavity,260523-wfnwhsfx4r,reported,0
afd4beb3efb2aac7e0f40c5c8544193fb2e2463f1beca8c3db6ac213d507b3e0_cavity.sh,cavity,260523-wfqp4sfx5p,reported,0
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_cavity.sh,cavity,260523-wfr8yafx5r,reported,0
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555_cavity.sh,cavity,260523-wft3jafx6k,reported,0
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f_cavity.sh,cavity,260523-wfww5afx6n,reported,0
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1_cavity.sh,cavity,260523-wfyeysfx6q,reported,0
f44f787ed1febf572ad6b20f972e31dba769b8d19e82b55dcbf251efa0ef47ee_cavity.sh,cavity,260523-wfz9jsfx7l,reported,0
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd_cavity.sh,cavity,260523-wf235sfx7p,reported,0
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c_cavity.sh,cavity,260523-wf4xqsfx7r,reported,0
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c_cavity.sh,cavity,260523-wf6rbsax4z,reported,0
b2e7757aac7af333aa53fb170c196bd4f324bdb60b841f6c7f233cb7b6dfc042_cavity.sh,cavity,260523-wf8kxsfx8m,reported,0
24d0d3d9346bc42fc669ab17c3b0cd7cb7fd5b04587842eccdecd40309eb7fd7_cavity.sh,cavity,260523-wgaehsfx8p,reported,0
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_cavity.sh,cavity,260523-wgcjwafx9k,reported,0
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4_cavity.sh,cavity,260523-wgedgaax5s,reported,0
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310_cavity.sh,cavity,260523-wgf73afx9n,reported,0
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34_cavity.sh,cavity,260523-wghqwsax5w,reported,0
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c_cavity.sh,cavity,260523-wgkv9afx9p,reported,0
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037_cavity.sh,cavity,260523-wgmd3sfx9q,reported,0
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc_cavity.sh,cavity,260523-wgn8nsax6t,reported,0
a741e3152b6363815bf47343189b75609f413b6409232c3a9bc00fec95b12dec_cavity.sh,cavity,260523-wgq29sax6y,reported,0
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2_cavity.sh,cavity,260523-wgswvsax61,reported,0
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_cavity.sh,cavity,260523-wgwbzsax7v,reported,0
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_cavity.sh,cavity,260523-wgxvtaax7y,reported,0
be0fe6a1344b052d4f61cca910f7d26ad02d283f280014eeca0d1cc729e6822a_cavity.sh,cavity,260523-wgzz6sax8v,reported,0
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_stack.sh,stack,260523-wg2h1aax8y,reported,0
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2_stack.sh,stack,260523-wg32tsax9s,reported,0
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_stack.sh,stack,260523-wg5wesax9x,reported,0
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453_stack.sh,stack,260523-wg7p1sfy2m,reported,0
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_stack.sh,stack,260523-wg9vdaax9y,reported,0
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_stack.sh,stack,260523-whbc7say2s,reported,0
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8_stack.sh,stack,260523-whdtbsfy2r,reported,0
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0_stack.sh,stack,260523-whfmxsay2w,reported,0
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_stack.sh,stack,260523-whg6rafy3q,reported,0
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c_stack.sh,stack,260523-whka4sfy4k,reported,0
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_stack.sh,stack,260523-whmfgafy4p,reported,0
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_stack.sh,stack,260523-whnzasfy5j,reported,0
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_stack.sh,stack,260523-whqswsfy5m,reported,0
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4_stack.sh,stack,260523-whsbqafy5n,reported,0
1c8ccda72671132190340a819e4689f94fbc317970d1da3dc44fafa8fb9d1456_stack.sh,stack,260523-wht6baay2y,reported,0
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535_stack.sh,stack,260523-whwzxafy5q,reported,0
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555_stack.sh,stack,260523-whythaay3t,reported,0
afd4beb3efb2aac7e0f40c5c8544193fb2e2463f1beca8c3db6ac213d507b3e0_stack.sh,stack,260523-wh1m4aay3w,reported,0
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4_stack.sh,stack,260523-wh26xsfy6m,reported,0
4dc4f0f7d86ce580ec9d5afe792681d8c4ce473e96f21cfaa11cec93b1cf2ae6_stack.sh,stack,260523-wh41hsfy6p,reported,0
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e_stack.sh,stack,260523-wjhhxaay41,reported,0
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7_stack.sh,stack,260523-wjkchaay5v,reported,0
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b_stack.sh,stack,260523-wj7sssfy8j,reported,0
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c_stack.sh,stack,260523-wj9mdsfy8m,reported,0
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33_stack.sh,stack,260523-wkyaraay8x,reported,0
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f_stack.sh,stack,260523-wk1e4sfz4n,reported,0
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310_stack.sh,stack,260523-wk2yyaay81,reported,0
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1_stack.sh,stack,260523-wk4sjafz4p,reported,0
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc_stack.sh,stack,260523-wk6bcsay9v,reported,0
80729e37f797da2b5a177867306318626e52b675f44fa441c256d139e88f69df_stack.sh,stack,260523-wk75ysfz4q,reported,0
e0d7c7df9562bef40c41835803a4af04a04f4f48f201e56c6f60dc58ae8c65e4_stack.sh,stack,260523-wk9zjsaz2s,reported,0
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2_stack.sh,stack,260523-wlbs5saz2v,reported,0
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd_stack.sh,stack,260523-wldmqsaz2y,reported,0
60f401afeb6054e531916adb8118df45fcd7d4c1d166ac28197c67ecba2ba60c_stack.sh,stack,260523-wlfgbsaz3t,reported,0
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c_stack.sh,stack,260523-wlhaxsaz31,reported,0
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34_stack.sh,stack,260523-wlj5hsaz4t,reported,0
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd_stack.sh,stack,260523-wllncaaz4x,reported,0
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd_stack.sh,stack,260523-wlngyafz6j,reported,0
