Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b.sh,original,NTk2OTgyZDU0MmJlMDY3YjA3MDc3YTlkYzBlMWRjYmE6MTc3NTIyODMzNw==,completed,17,45
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e.sh,original,NmE4YmI1NDNiM2Q3ZTJlMTkzZTQ3MjE2MWY3NzQwYWU6MTc3NTIyODM1Ng==,completed,26,36
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8.sh,original,N2Y1Njk0ZTlkYWNjZjI1OWRjNGE3MzJiMjkwOTA0NzI6MTc3NTIyODM3OA==,completed,34,28
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2.sh,original,YzNiY2FmMGU1ZWZjZmM3MTRiODZmZDExODNhODE1NmE6MTc3NTIyODM5Nw==,completed,32,30
24d0d3d9346bc42fc669ab17c3b0cd7cb7fd5b04587842eccdecd40309eb7fd7.sh,original,YmIyODNkNWUzY2JiOGE1YzlkZGUyYjA2ZThlZmMyMTM6MTc3NTIyODQxNg==,completed,29,33
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037.sh,original,NzYwNzQyMmYzNjlhOWQ0NzUyYWJlOTFmMDQ1NWYxMmE6MTc3NTIyODQzNQ==,completed,23,34
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd.sh,original,ZWJiZDM2MWMzZTY5NDNlYWJjYjMyMmJiYTVkYTgxOTc6MTc3NTIyODQ1Mw==,completed,14,47
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84.sh,original,ZDgwZTU5NjAyZTRjODI1ZTYwMzg1NmE1Njk1Njc0M2Q6MTc3NTIyODQ3NQ==,completed,35,27
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555.sh,original,YjM0MTM4NzcwZGRlYzM1YWY5NmRmMDJmMTIzYTA3MTI6MTc3NTIyODQ5Mw==,completed,23,38
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708.sh,original,YjcyYzJiZTk2NTFlZGU1ZjMzNzkyNmM2YjU4MzA2MjQ6MTc3NTIyODUxMw==,completed,15,47
