Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
b57e46c3fa90bda23ffb9f1a5b7d962dc2226734653d92349bef54265e78684e.js,original,OTVmNDRjZjdmOTM4ZWZlMmUyMTkwOTk5MzNhNDQ2OWI6MTc3NTI1MTQzMg==,completed,18,43
a995649cec82066509b1dbce5cfb00130de114363503e57206b9a6fe42f6fc1d.js,original,MDFjMGM4OTYxZjJiMmJiMWMxYTQzNzZlM2VhYTczNDE6MTc3NTI1MTQ1MQ==,completed,26,33
c37c0db91ab188c2fe01642e04e0db9186bc5bf54ad8b6b72512ad5aab921a88.js,original,ZDNiZmMxMzY2MTgzNzgwNzAxZmVhNjU2NDFlYzZjNDg6MTc3NTI1MTQ3MQ==,completed,35,26
3185940ffe1890653e544476623ba0281e2e33c1b22832fe5f966aa19970adf9.js,original,MDgwMDYyZDQ4OTgwYWNkMTRkNWIwYzNkYjNiZTAwNzQ6MTc3NTI1MTQ5Mw==,completed,27,35
ccbdf817ba435e666b930c8b8c2447b66581208ff6a870ad2d3f8c670bb18a44.js,original,Njc5MGU1MzJkZjhmZDE2MzNkYjE4M2RkZDM3NjU1Zjg6MTc3NTI1MTUxMg==,completed,14,47
3f6b1ee279af8d5b5f855d3868173829cff0afcb977c037829d3a079a6e66bbb.js,original,ZGQ2MjA0YjFjMTY5Y2JkZTZmZDRmMzkzODg1ZDk0NzE6MTc3NTI1MTUzNQ==,completed,29,30
f4c3833be951dadfb3bf0757f7710af8828c8f4bf81f3434ced633d633a538b2.js,original,ZThmMTk4ZDcxYjYzNjNjYmJhNWJlNGQzOGIxNmVjMjc6MTc3NTI1MTU1NA==,completed,27,34
cd351b01a774787db1d60071edda6851909e7c6059bb65e943e860e8547ee987.js,original,MWQ1MjczYmE3ZjFiMjhmNGQ3MjMzNzdmYjllMmEwZTA6MTc3NTI1MTU3Ng==,completed,29,33
8eab346fa87e580ad28ccb514fd080d3b43a40f9bf58f2065dfa58db583c58c7.js,original,NmJiZjlkY2NhOTYzNTk5NTVjYTdiYTRiNDRlMzNmOGI6MTc3NTI1MTYwNw==,completed,27,34
7ea5dbbd329ee4655116152a123120a56a343309be1b360ec36e36c76553094e.js,original,NzI3NTg1YzNjODRjMjNhYTIwZDdjN2Q3NWQyODVhYzE6MTc3NTI1MTYyNw==,completed,35,25
6fea579685d2433cedb1c32ef704575dcbc1d0a623769e824023ffccd0dedaae.js,original,YjdiNDUzMGQwZWIyNDk2YmJmZjQ1MmVlNTc4M2RmMTc6MTc3NTI1MTY0OA==,completed,24,35
b05410e06876298c0f10fa64c5cdd186c287738493e4d51a31f5ed949ebc00bc.js,original,MjE1OTViOWIxNmIzOGMyMDY1ZmYwNDUzYjlmODRiNWU6MTc3NTI1MTY2Nw==,completed,23,32
a05e19a327fb6c9208abf7866ef09c5efffabc04a80456b49c81c790a40880c5.js,original,ZDg4NDc2NjI4MWQ5ZTE3MzkwZjA5ZDBjNWFjYTk1YjI6MTc3NTI1MTY4OA==,completed,23,25
37b86c4a87633aba320b23ef7ecb94b84d175025aa235ebdb2eb0c27b4180931.js,original,NWQwMWZlZmJkNGRjYzRlZDhlNDNlNGRlOGZjZDIyMWM6MTc3NTI1MTcwNw==,completed,26,36
d7f70c3813eca37a21e604b8c2d71c7ffce4d9fd01907b3f4a1f3fa17d1bba52.js,original,NWIyOGE4NDhiMTNjZjNhYmFiODBjNGQ2ODQzYjE3MjQ6MTc3NTI1MTcyNw==,completed,21,25
c5cbcc786d5f4c5a53611f9c1738bdeaa3e76e0aa91f459438f79b099d5d7064.js,original,NDgwYjk2NDcyOGQ0YzQxYWNhYjcxMDEzMGFjZmUwOGM6MTc3NTI1MTc0Nw==,completed,14,48
b853b61b0ac822b0544f86220bf521bb640c2de25d6de7fe1a92bceecebc3c09.js,original,ZWMzODRmYjU3ZWZkYmEwMTQ1MTFjZmVkN2UwMWU1ZDg6MTc3NTI1MTc4OA==,completed,24,38
c8648bf3dfb98f7d5a172cd6da4bc143bcc2fa8822da8512c900a9f33f7a84d5.js,original,MmZiZmZjMmZjY2UzZmYwNzZhNGE1YzQwN2NiMmU4Nzk6MTc3NTI1MTgwNw==,completed,25,37
15387da23f7465d5c4ccd137bc21d15d74c0006c7536b92afed5337cdb3e0315.js,original,ZWQ5ZDFlNGM1ODBhOWY5MjgxNWQwY2JmMDBiNDdiMjA6MTc3NTI1MTgyOA==,completed,29,32
c95db7526f321648daf2f40d98429e46dad56cbfcabc12ceb3d3c66189460b01.js,original,ZWJiMmVmOGM0NzQ2Yjg1YzA1ZDJlZmU2YjIxYTYwNmU6MTc3NTI1MTg0Nw==,completed,35,25
af77bb57c12e40a0f4ac6831bb8e6951d0c583fecea0f0132341ac676933e2e1.js,original,YjIyNWQ0ZTdiODI4MmRmZGVlOTdhMmM0OGM2OThmNjg6MTc3NTI1MTg2OA==,completed,31,27
416e8d1914e31950174c9dc49f5df1c78e7d203a83705803ac0a96d720749bde.js,original,NjkxNDY1N2JmODczZGJjOGU1NjNhNzRmYTg1MWEyYjg6MTc3NTI1MTg4Nw==,completed,27,33
8f4cb07a4333f15fa8e585b00ef08ab329fda9fbc3802fdbdf579c194096ba9d.js,original,ZTkzYWY4N2ExMjdjYTZiZTJmMGYwNDNhMjA3MDMwMGM6MTc3NTI1MTkxMw==,completed,30,32
b63078647279770a6ee5e73c5b78f6958acfa5cca56951dc2807f2ddf601f9db.js,original,YjQwMjBkNjgzYWNmNzQ2OGJhNThmMDAyNTg0ODg5MWI6MTc3NTI1MTkzMw==,completed,11,51
024cd5104ebed3fb749352f9adc9aaf5a31d6fa83dbfcaf2ec827208a67b5d16.js,original,MzhhMmMwZGMxOGVlZTk5N2QyNjZlNjQ5NzQwMjVjOGQ6MTc3NTI1MTk1Mg==,completed,19,43
06d87d6d55159d12c4cf3940d376881932614028ac41c1734fe5e92f28fc39d2.js,original,ZjM2YThhYjIwN2ZlZjk2YTNhNDE2Mzc3ZjE3YWU2Y2I6MTc3NTI1MTk3MQ==,completed,16,43
