Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
c5cbcc786d5f4c5a53611f9c1738bdeaa3e76e0aa91f459438f79b099d5d7064_cavity.js,cavity,YzA4YmIzNmI4OWU0YWE3MTEyYWRhZThkZTZkOTQ0Y2Q6MTc3OTU2Nzg5NA==,completed,0,63
c1bba56272310ef2b72d468b811c85cca4b0df44107308c4cb6d2f041ae4734e_cavity.js,cavity,YTViMGM2MzMyNDlhYTQxOWU3MmJkNDJmNWU4ZDY0YzU6MTc3OTU2NzkxNQ==,completed,1,62
b57e46c3fa90bda23ffb9f1a5b7d962dc2226734653d92349bef54265e78684e_cavity.js,cavity,ZGI5OWJmZGVmMDkzNWNkZWE5MDEzYmQ0ZDQxMWVjN2Q6MTc3OTU2NzkzNA==,completed,0,63
c8648bf3dfb98f7d5a172cd6da4bc143bcc2fa8822da8512c900a9f33f7a84d5_cavity.js,cavity,NWU5Mzg3ODgxYzU0MmEwNTc0ZTQwNzBhNmI0Mjc5YzM6MTc3OTU2Nzk1Mw==,completed,0,62
af77bb57c12e40a0f4ac6831bb8e6951d0c583fecea0f0132341ac676933e2e1_cavity.js,cavity,NDgxNTQxYmRiOTcyNTJmN2Q2ZTcwZTIyMDI5ZDc4ZjA6MTc3OTU2Nzk3Mw==,completed,0,61
b853b61b0ac822b0544f86220bf521bb640c2de25d6de7fe1a92bceecebc3c09_cavity.js,cavity,Njc0N2U1NThhYTU1OGMxMGQ3OTQxMTE3YmE4ZDcwMWU6MTc3OTU2ODAwMQ==,completed,1,62
be38bb3d0febd6cfca7fee8eae103ac9f3cd7396c69312309ae36261766e3e17_cavity.js,cavity,ODNiNGFkMDgwNGQyODMyYTRjMGVlNjM3Njc0ZWIyNTc6MTc3OTU2ODAzMg==,completed,0,63
37b86c4a87633aba320b23ef7ecb94b84d175025aa235ebdb2eb0c27b4180931_cavity.js,cavity,MzRmMDY3Y2M1MWNmMDRiYmIxZTdhOTZlYmExMDk4NWE6MTc3OTU2ODA1MQ==,completed,0,63
dd20d29f9571400b35455b7d7423c5700b74bb6f218d6525f880bdf5e2ca63d5_cavity.js,cavity,ODYyYWZjYzgxY2QyYzBlZjA4YzQ1M2MzOTlkNGUzM2M6MTc3OTU2ODA3MA==,completed,0,63
b63078647279770a6ee5e73c5b78f6958acfa5cca56951dc2807f2ddf601f9db_cavity.js,cavity,ZjU5ODZjZWMyOTUzNzg2MTQwMzUwYjQzNDM3YTE0NGI6MTc3OTU2ODA4OA==,completed,0,63
c37c0db91ab188c2fe01642e04e0db9186bc5bf54ad8b6b72512ad5aab921a88_cavity.js,cavity,YTc4ZDliMjQ3MDFiODBiMDJiZGNiMzRjNjIwMWQzOTI6MTc3OTU2ODEwOA==,completed,0,63
b201a03fc29a92568f2b8eb6b1e838f6f219113c0b523dae531ea737ab9da912_cavity.js,cavity,OGNkNGQ1YjE2YTFhMzI2ZmQ2Y2ViZTEyMTIwOTFlMzQ6MTc3OTU2ODEyNw==,completed,0,62
8eab346fa87e580ad28ccb514fd080d3b43a40f9bf58f2065dfa58db583c58c7_cavity.js,cavity,YjA1ZmQ3YTVmN2Q0ZjhkNmE5ODhhNjU1NWU5MDdiYmQ6MTc3OTU2ODE0Ng==,completed,0,63
116506107354d91ba1c1654b6bfaca1567862a96e4f6f0ab014d37d5b7a2fdd7_cavity.js,cavity,ZmYwNjhiMGEyNDNlZmJlMTQ0ZjgzZGUwOGI5ZWI3MTQ6MTc3OTU2ODE2NQ==,completed,0,63
39bd6476057eb7a4a6b6880a1abcda4e87dc62ad44e46c7256e0e2817f780fbe_cavity.js,cavity,NTdmN2NkNDdmZWUxMDM1YTg4NWQ5Y2JmN2EzNmUyY2M6MTc3OTU2ODE4Mw==,completed,0,63
